palabra,significado
Annyeonghaseyo,"Hola"
Je ireumeun,"Mi nombre es"
Jeoneun,"Yo soy"
Saram,"Persona"
Namu,"Árbol"
Gang,"Río"
Sagwa,"Manzana"
Goyangi,"Gato"
Gae,"Perro"
Jip,"Casa"
Sigyeong,"Despedida"
Jeonui,"Humano"
Hangeul,"Alfabeto coreano"
Hangug,"Corea"
Seoul,"Capital de Corea del Sur"
Paldo,"Comida"
Maeum,"Alma"
Sarang,"Amor"
Jeongmal,"Verdaderamente"
Eomma,"Madre"
Appa,"Padre"
Nae,"Yo"
Dangyeonhaji,"Estoy bien"
Saranghae,"Te amo"
Sseulsseulhago,"Perdona"
Gamsahamnida,"Gracias"
Mianhamnida,"Lo siento"
Gyeoroon,"Mañana"
Naeil,"Día"
Yeongu,"Enfrente de"
Gakkawon,"Escuela"
Jangmi,"Hora"
Dal,"Luna"
Haneul,"Cielo"
Ddeokbokki,"Plato coreano con arroz y pastel de arroz"
Tteokbokki,"Plato coreano con arroz y verduras"
Bibimbap,"Plato coreano con arroz, verduras y carne"
